Bluetooth,P_x,P_y,P_z,O_x,O_y,O_z
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13740993 -0.13245577 -0.16165627 -0.09569698  0.07381962 -0.99266951]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13780569 -0.13232186 -0.16149919 -0.09041652  0.08680948 -0.99211338]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13662355 -0.12914839 -0.16983665 -0.07554039  0.09797025 -0.99231824]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13502353 -0.12785181 -0.1719567  -0.06348797  0.09212931 -0.99372102]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13380077 -0.12718016 -0.17068436 -0.07085258  0.10138229 -0.99232129]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.1289956  -0.12546116 -0.19630194 -0.06326643  0.08477916 -0.99438919]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12811351 -0.12521145 -0.18701047 -0.08384687  0.12104345 -0.98909968]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.1271128  -0.12311938 -0.18932868 -0.07281709  0.12627178 -0.98931952]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12715198 -0.12309325 -0.18789237 -0.10289613  0.14077357 -0.98468025]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12720998 -0.12434539 -0.18867523 -0.17130871  0.10513736 -0.97959148]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12576341 -0.12645641 -0.19286742 -0.17295446  0.09239507 -0.98058651]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12552463 -0.12986502 -0.17978843 -0.18482958  0.09419481 -0.97824607]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12679724 -0.13244656 -0.17351692 -0.17483465  0.10593313 -0.97888253]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12556209 -0.12770393 -0.20184736 -0.14239181  0.14141683 -0.97965599]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12632702 -0.12824568 -0.18687009 -0.14821845  0.15604428 -0.97656616]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12620875 -0.1280202  -0.16484066 -0.14059532  0.15693152 -0.97755074]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12601019 -0.12788209 -0.16632042 -0.12568053  0.16109639 -0.97890365]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12404421 -0.12590715 -0.16974862 -0.15611731  0.14715223 -0.97671572]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12465319 -0.12527245 -0.16015482 -0.17303814  0.15585811 -0.97250504]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12290263 -0.12608525 -0.15824503 -0.17722834  0.10235984 -0.97883225]
