"[array([ 0.0762856 , -0.19506216, -0.27588235]), array([-0.98044503,  0.00947072,  0.19656512])]"
"[array([ 0.06034618, -0.19396281, -0.27561739]), array([-0.7770414 ,  0.04171117, -0.62806595])]"
"[array([ 0.05670605, -0.18006119, -0.27716461]), array([-0.41571636,  0.04053904, -0.90859039])]"
"[array([ 0.05394438, -0.18099651, -0.27830151]), array([-0.36020882,  0.03337346, -0.93227454])]"
"[array([ 0.05477708, -0.17127332, -0.27820027]), array([-0.30424803,  0.03636866, -0.95189835])]"
"[array([ 0.05557309, -0.17206237, -0.27624975]), array([-0.29472229,  0.03900441, -0.95478659])]"
"[array([ 0.05688197, -0.17468548, -0.27340534]), array([-0.2982899 ,  0.05358211, -0.95297014])]"
"[array([ 0.04918259, -0.17654258, -0.27561444]), array([-0.32245117,  0.04742687, -0.94539724])]"
"[array([ 0.05087224, -0.17783502, -0.26525047]), array([-0.33410807,  0.03933195, -0.94171376])]"
"[array([ 0.05098959, -0.18177018, -0.2746896 ]), array([-0.37876668,  0.030943  , -0.92497477])]"
"[array([ 0.05119648, -0.18108061, -0.27560845]), array([-0.35500152,  0.05432105, -0.93328621])]"
"[array([ 0.05771831, -0.17505935, -0.28354922]), array([-0.3573789 ,  0.04649815, -0.93280129])]"
"[array([ 0.05976731, -0.17582649, -0.29014816]), array([-0.38130489,  0.04002394, -0.92358252])]"
"[array([ 0.05634863, -0.17639771, -0.29889914]), array([-0.48459084,  0.02012112, -0.87450949])]"
"[array([ 0.05569694, -0.18029615, -0.29832739]), array([-0.55252947,  0.01271998, -0.8333963 ])]"
"[array([ 0.0595927 , -0.18383592, -0.2964046 ]), array([-0.58501603,  0.00488383, -0.81100702])]"
"[array([ 0.05909426, -0.1888755 , -0.29711471]), array([-0.59259713, -0.00804926, -0.80545878])]"
"[array([ 0.06034174, -0.18472502, -0.29355044]), array([-0.60699067,  0.00459119, -0.79469569])]"
"[array([ 0.06236449, -0.18666321, -0.29170454]), array([-0.63444034, -0.00188094, -0.77296955])]"
"[array([ 0.06190126, -0.18992454, -0.29106078]), array([-0.63673801,  0.00974132, -0.77101868])]"
"[array([ 0.06034296, -0.18696344, -0.29058419]), array([-0.68954386,  0.02217104, -0.72390449])]"
"[array([ 0.06032009, -0.18735668, -0.29514377]), array([-0.73316864,  0.02561434, -0.67956431])]"
"[array([ 0.05885   , -0.1934945 , -0.29032572]), array([-0.96814038, -0.00871134, -0.25025651])]"
"[array([ 0.05890484, -0.19458523, -0.29091188]), array([-0.98838659, -0.03106529, -0.14875109])]"
"[array([ 0.0611141 , -0.19723895, -0.28103247]), array([-0.9983474 ,  0.05707013,  0.00674274])]"
"[array([ 0.06220109, -0.19813588, -0.27691586]), array([-0.99973316,  0.00264867,  0.02294752])]"
"[array([ 0.06269441, -0.203807  , -0.27325769]), array([-0.9976701 , -0.01958202,  0.06535217])]"
"[array([ 0.06254319, -0.20444688, -0.27714086]), array([-0.96633121,  0.03996706,  0.25417835])]"
